account.id,total_deposited,total_borrowed,total_withdrawn,total_repaid,wallet_age,time_since_last_tx,liquidatee_count,liquidator_count,total_liquidated,liquidation_risk_ratio,credit_score
0xcd8cb928ab917f9c0eb1f20b7090116c2afefa46,101.15374200684089,0.0,0.0,0.0,2109.630497685185,2056.8556712962964,0.0,0.0,0.0,0.0,76.6172638267168
0x40d5501eb755cbc39d84cd0c7de74eaf1e952a2c,14.154656992133948,0.0,0.0,0.0,2109.6046875,2056.8298611111113,0.0,0.0,0.0,0.0,76.61629114609622
0x4505852860a84663d666cc9d2231c888e2444abe,2.3729193119177743,0.0,0.0,0.0,2109.623414351852,2056.7976157407406,0.0,0.0,0.0,0.0,76.61599061836795
0x4d0dbd74717b049c574d57cbd91c71dc184228bf,25.339401553352246,0.0,0.0,0.0,2109.595289351852,2056.6127199074076,0.0,0.0,0.0,0.0,76.61289203247765
0xf6fdee29e3a14610fdbe187e2d3442543cfa45b8,53.54771927263197,0.0,1442.4207801211724,0.0,2114.6780555555556,2051.067650462963,0.0,0.0,0.0,0.0,76.61023679197498
0x9a613e0470e2802022adca41e8b65ef5c8218a17,31.2560407072296,0.0,0.0,0.0,2109.6388310185184,2055.9572453703704,0.0,0.0,0.0,0.0,76.60369321461042
0xb63c1e7468570c2053d793bbde0b9694fb2f495f,66.47464380640444,0.0,0.0,0.0,2109.3298379629628,2055.5373958333334,0.0,0.0,0.0,0.0,76.59454853739796
0x9bb37ff92281d53041d4efe3eede19f416818712,13.870719507553964,0.0,0.0,0.0,2108.832013888889,2056.0571875,0.0,0.0,0.0,0.0,76.59379833696872
0xc080e234dba2545e93872ce6e96e683a4e29046b,4203.257104544127,0.0,2498.2585840761117,0.0,2116.655,2046.753449074074,0.0,0.0,0.0,0.0,76.59147974976159
0x78f976803ee17700096e2e52714db9a87a5cdb85,30.1886097130704,0.0,0.0,0.0,2108.6409027777777,2055.863414351852,0.0,0.0,0.0,0.0,76.5880814022561
0x7f5f588ed0438a9b98e11575004326ac3c5417ad,31.815891883480838,0.0,0.0,0.0,2108.4335416666668,2055.632303240741,0.0,0.0,0.0,0.0,76.58163629904975
0xfdfbb7bb1a8c9170729e4da73c73bda3e85469a7,10.531479219625592,0.0,0.0,0.0,2108.520162037037,2055.283113425926,0.0,0.0,0.0,0.0,76.57899431750434
0xd121d55308b346ee9675cde51a51174a45a37341,1.5551010251316297,0.0,0.0,0.0,2108.0202777777777,2055.245451388889,0.0,0.0,0.0,0.0,76.56990844722043
